Source: ACS 5-Year Estimates Public Use Microdata Sample 2022
Weight used: PWGTP
"Universe: selected geographies: California"
"","Recoded detailed Hispanic origin (HISP)","","","","","","","","","","","","","","","","","","","","","","","",""
"Age recode (AGEP_RC1)","Total","Not Spanish/Hispanic/Latino","Mexican","Puerto Rican","Cuban","Dominican","Costa Rican","Guatemalan","Honduran","Nicaraguan","Panamanian","Salvadoran","Other Central American","Argentinean","Bolivian","Chilean","Colombian","Ecuadorian","Paraguayan","Peruvian","Uruguayan","Venezuelan","Other South American","Spaniard","All Other Spanish/Hispanic/Latino"
"55 - 64","1080","342","519","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","61"
"65 - 74","1267","646","596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","9"
"75 - 84","341","242","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0"
"0 - 1","20","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Pima alone","624","279","336","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","21","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","209","66","134","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","55","37","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","73","25","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","82","47","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","84","59","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","47","31","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","52","13","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
